Product,Model status,Runnable / dry,Mixed trail,Rocky / technical,Soft ground / mud,Forefoot shape,Midfoot / heel hold,Cushion / protection,Drop,Distance bias,Main fit caveat,Confidence,Primary evidence,Primary source URL,Secondary evidence,Secondary source URL,Checked date,Phavai guide
HOKA Speedgoat 7,Current,Primary match,Primary match,Primary match,Capable,Tapered,Secure,Protective high cushion,5 mm listed; some sources report 4–5 mm,Long / ultra,Low-volume or pointy forefoot for some runners; wide sizing or a size adjustment may be needed.,Strong,Running Warehouse Speedgoat 7 review,https://www.runningwarehouse.com/reviews/Hoka-shoe-reviews/hoka_speedgoat_7.html,iRunFar Speedgoat 7 review,https://www.irunfar.com/hoka-speedgoat-7-review,2026-04-22,https://www.phavai.com/best-mens-trail-running-shoes.html
La Sportiva Prodigio Pro,Current,Capable,Primary match,Primary match,Insufficient evidence,Conventional,Fit-sensitive,"Moderate, responsive",6 mm listed,Short / fast,Snug mountain-race fit; wider feet should size carefully.,Strong,RunRepeat Prodigio Pro lab review,https://runrepeat.com/la-sportiva-prodigio-pro,iRunFar Prodigio Pro review,https://www.irunfar.com/la-sportiva-prodigio-pro-review,2026-04-20,https://www.phavai.com/best-trail-shoes-for-technical-trails.html
Brooks Catamount 4,Current,Primary match,Primary match,Capable,Limited,Unverified,Secure,Moderate,6 mm listed,Short / fast,Supportive fast-trail hold; forefoot shape still needs stronger normalization.,Strong,OutdoorGearLab Catamount 4 review,https://www.outdoorgearlab.com/reviews/shoes-and-boots/trail-running-shoes-men/brooks-catamount-4,Believe in the Run Catamount 4 review,https://believeintherun.com/shoe-reviews/brooks-catamount-4-review/,2026-04-20,https://www.phavai.com/best-mens-trail-running-shoes.html
The North Face VECTIV Enduris 4,Current,Primary match,Capable,Limited,Limited,Unverified,Balanced,High / plush,6 mm listed,Long / ultra,"Approachable and cushioned, but less precise on steep technical terrain.",Strong,Running Warehouse Enduris 4 review,https://www.runningwarehouse.com/reviews/the-north-face-shoe-reviews/tnf-vectiv-enduris-4.html,OutdoorGearLab Enduris 4 review,https://www.outdoorgearlab.com/reviews/shoes-and-boots/trail-running-shoes-womens/the-north-face-vectiv-enduris-4,2026-04-20,https://www.phavai.com/best-comfortable-trail-running-shoes.html
Brooks Caldera 8,Current,Primary match,Capable,Limited,Limited,Unverified,Balanced,High / plush,8.8 mm lab-measured; listed value not normalized,Long / ultra,"Wide, planted platform; the tradeoff is weight and bulk rather than agility.",Strong,RunRepeat Caldera 8 lab review,https://runrepeat.com/brooks-caldera-8,Switchback Travel Caldera 8 review,https://www.switchbacktravel.com/reviews/brooks-caldera-8,2026-04-24,https://www.phavai.com/best-comfortable-trail-running-shoes.html
Nike Zegama 2,Current,Primary match,Primary match,Capable,Insufficient evidence,Unverified,Fit-sensitive,High / plush,Not normalized in the current source set,Long / ultra,Heel lockdown varies by foot; an insecure heel can reduce confidence on uneven ground.,Strong,Believe in the Run Zegama 2 review,https://believeintherun.com/shoe-reviews/nike-zegama-2-review/,TechRadar Zegama 2 review,https://www.techradar.com/health-fitness/nike-zegama-2-review,2026-04-24,https://www.phavai.com/best-comfortable-trail-running-shoes.html
Brooks Cascadia 19,Current,Capable,Primary match,Primary match,Insufficient evidence,Conventional,Secure,Protective,8 mm listed,Long / ultra,"Traditional, stable fit with wide sizes available; firmer and less plush than max-cushion alternatives.",Strong,Running Warehouse Cascadia 19 review,https://www.runningwarehouse.com/reviews/Brooks-shoe-reviews/brooks-cascadia-19.html,RunRepeat Cascadia 19 lab review,https://runrepeat.com/brooks-cascadia-19,2026-04-21,https://www.phavai.com/best-trail-shoes-for-100-miles.html
Altra Lone Peak 9,Current,Primary match,Capable,Limited,Insufficient evidence,Roomy / anatomical,Relaxed,Moderate,0 mm listed,Daily / mixed,"Maximum toe splay, but a relaxed technical hold and zero-drop geometry require the right foot and adaptation.",Strong,RunRepeat Lone Peak 9 lab review,https://runrepeat.com/altra-lone-peak-9,iRunFar Lone Peak 9 review,https://www.irunfar.com/altra-lone-peak-9-review,2026-04-21,https://www.phavai.com/best-trail-shoes-for-wide-feet.html
Topo Athletic Ultraventure 4,Current,Primary match,Capable,Limited,Limited,Roomy / anatomical,Secure,High / plush,5 mm listed; 6.6 mm lab-measured,Long / ultra,Roomy forefoot with better midfoot and heel security; shallow lugs reduce soft-ground confidence.,Strong,RunRepeat Ultraventure 4 lab review,https://runrepeat.com/topo-athletic-ultraventure-4,RoadTrailRun Ultraventure 4 review,https://www.roadtrailrun.com/2025/02/topo-athletic-ultraventure-4-multi.html,2026-04-21,https://www.phavai.com/best-trail-shoes-for-wide-feet.html
Saucony Peregrine 15,Legacy comparison — Peregrine 16 is the current US model,Primary match,Primary match,Primary match,Capable,Tapered,Secure,Moderate / firm,4 mm listed,Short / fast,Tapered forefoot and controlled low-profile feel; verify the generation because Peregrine 16 replaced it in the US catalog.,"Strong, legacy model",RunRepeat Peregrine 15 lab review,https://runrepeat.com/saucony-peregrine-15,OutdoorGearLab men's trail-shoe comparison,https://www.outdoorgearlab.com/topics/shoes-and-boots/best-trail-running-shoes-men,2026-04-22,https://www.phavai.com/best-mens-trail-running-shoes.html
